ID,Route,Direction,Milepost_S,Milepost_E,Distance,Slope,Radius,Curve_Length,Num_Lanes,Delta_Slope,Delta_Radius,Delta_Lanes,AADT,Max_Speed,Min_Speed,Mean_Speed,Consequence,Causal_Factor
10021,영동선,1,10.78,11.46,0.68,0.596,0,3200,3,0,0,0,62663,78.1,77.4,77.82,0,0
10022,영동선,1,11.46,12.21,0.75,1.904,0,3200,3,-1.308,0,0,62663,78,77.6,77.84,0,0
10023,영동선,1,12.21,13.04,0.83,0.51,0,3200,3,1.394,0,0,62663,77.9,77.8,77.87,0,0
10024,영동선,1,13.04,13.98,0.94,1.475,0,3200,3,-0.965,0,0,62663,78,77.6,77.75,0,0
10025,영동선,1,13.98,14.28,0.3,1.475,1200,660,3,0,-1200,0,62663,77.7,77.7,77.7,0,0
10026,영동선,1,14.28,14.64,0.36,1.95,1200,660,3,-0.475,0,0,62663,77.7,77.7,77.7,0,0
10027,영동선,1,14.64,14.87,0.23,1.95,0,230,3,0,1200,0,62663,77.8,77.8,77.8,0,0
10028,영동선,1,14.87,15.8,0.93,1.95,1000,930,3,0,-1000,0,62663,78,77.9,77.95,0,0
10029,영동선,1,15.8,15.84,0.04,1.95,0,175,3,0,1000,0,66865,100,100,100,0,0
10030,영동선,1,15.84,15.975,0.135,1.98,0,175,3,-0.03,0,0,66865,78.1,78.1,78.1,0,0
10031,영동선,1,15.975,16.5,0.525,1.98,1000,925,3,0,-1000,0,66865,78,77.9,77.95,0,0
10032,영동선,1,16.5,16.9,0.4,0.503,1000,925,3,1.477,0,0,66865,78.2,77.9,78.05,0,0
10033,영동선,1,16.9,17.79,0.89,0.503,0,4320,3,0,1000,0,65355,78.1,75.9,77.35,0,0
10034,영동선,1,17.79,19.22,1.43,1.454,0,4320,3,-0.951,0,0,65355,72.3,1.2,50.97,0,0
10035,영동선,1,19.22,20.6,1.38,3.5121,0,4320,3,-2.0581,0,0,65355,92.4,65.2,86.68,0,0
10036,영동선,1,20.6,21.22,0.62,3.5093,0,4320,3,0.0028,0,0,65355,89.9,75.7,80.7,0,0
10037,영동선,1,21.22,21.42,0.2,3.5093,1500,1720,3,0,-1500,0,65355,77.8,75.5,76.4,0,0
10038,영동선,1,21.42,22.92,1.5,0.3565,1500,1720,3,3.1528,0,0,65355,88.6,73.4,79.74,0,0
10039,영동선,1,22.92,22.94,0.02,3.8082,1500,1720,3,-3.4517,0,0,65355,100,100,100,0,0
10040,영동선,1,22.94,23.56,0.62,3.8082,0,1930,3,0,1500,0,69744,75.1,71.2,73.33,0,0
10041,영동선,1,23.56,24.34,0.78,2.4426,0,1930,3,1.3656,0,0,69744,93.5,76.7,87.4,0,0
10042,영동선,1,24.34,24.87,0.53,1.7029,0,1930,3,0.7397,0,0,69744,90,80.9,85.57,0,0
10043,영동선,1,24.87,25.47,0.6,1.7029,980,790,3,0,-980,0,69744,80.2,79.5,79.77,0,0
10044,영동선,1,25.47,25.66,0.19,1.3893,980,790,3,0.3136,0,0,69744,78.9,78.9,78.9,0,0
